ID Peak Size1 Size2 Size3 Sum
9181.0 2.316455657146659 6.022773977071591 4.9632149999968815 4.744308929053262 396.24548511689767
6797.0 2.323624212492983 7.972742557311308 5.781904271735488 2.605502600355727 336.6229821557873
2520.0 2.9883985277488074 6.397879474322197 4.981522713715526 2.741156140925655 314.90400099974266
3555.0 2.7629788056961346 8.050662577605001 5.129784910312193 2.903442125434782 399.6034496533974
5397.0 3.5070239390849856 6.26304613660528 5.1048163160730775 2.3596010862909123 319.1176107623656
7068.0 2.3504787657627837 5.696212366632382 5.1963059518051145 3.376689573778611 283.3583900182257
5601.0 3.0903582047725098 5.5159153950767426 4.7557724349103045 2.5400235145886274 248.36645669445423
3092.0 2.103630747043532 5.136388536359287 4.981465221770519 4.985537639279653 323.67130666623126
9736.0 4.073283346986813 5.645238437734866 4.922258696403156 2.711168044556614 370.13103756955513
828.0 3.514210176295694 6.16505078398791 5.836804920683488 2.658597960584566 405.50849554524007
8027.0 2.8476022453268834 5.441113666252868 5.142489951639818 2.5278818483833168 242.94338013868747
495.0 3.1835258789880014 6.0462561680223095 5.090152476313677 3.0731973886776283 363.18164930329107
2779.0 2.5934258241053607 5.70810723055194 5.2944737046773955 4.056148678816794 383.45140784518054
4278.0 1.6166836232978423 6.658395831315613 6.641912019061207 4.136463950271902 356.71775991507485
3861.0 1.5116497602321317 7.84518387246706 5.546268543494944 4.451097036769382 353.1262345958439
9014.0 3.9052456737000583 5.253710901549393 4.764558164560839 2.8860438395247123 340.28892038250086
5062.0 1.8675650280078993 7.609649636126529 6.1757154662694305 3.607567537676037 381.9001809420474
9295.0 3.2216870897858056 5.3787746509691 5.229704120141566 3.4787475713607954 380.25458737682726
7745.0 2.5935289557816983 8.5573466284683 4.773447378404432 2.5816400158028663 329.8874317025854
6888.0 1.5730590077004973 5.572773299167793 5.113276725160267 4.884359234532455 264.0772605821131
8206.0 1.9729505334764101 5.96523290323512 5.8495117095630045 2.540793919358484 210.97955820477492
6504.0 3.2527649581081737 6.498291620402027 5.671947660871618 2.6368556648676544 381.3099813529186
2016.0 3.156618144306525 5.5594532834874775 5.093963279271088 3.2771820457761685 353.36068785199825
4474.0 4.077985274838897 6.553980923455463 4.978059104021676 2.432476636346672 390.3617661014137
1519.0 2.6303656667292503 8.169764829570282 5.032909638793208 2.820640155332085 367.95967035697004
2786.0 2.4834144946446695 5.305626581403934 4.850944652850227 3.4968128288748175 269.58288668636294
1643.0 4.421725697534907 5.503937655466232 4.963279604122272 2.7137476787474655 395.3768447050045
3248.0 3.1595067425612604 6.0561245024878145 4.990955386878498 2.776390599782499 319.8055936392564
7096.0 3.574932687286739 5.535576680246921 5.426943856738903 2.860990437067102 370.6040797947732
3547.0 2.3721504761339234 5.190623009579299 4.783697584359143 3.3203294090036564 235.8926081732975
5394.0 2.558898275302044 5.508314076209062 5.5038933162464465 3.206295120836112 300.0218876774772
6603.0 3.4589227723932985 5.805516737181307 5.1614956342423906 2.606836167439076 325.89580512662064
9438.0 2.2109483762567055 8.970082766345316 6.185197972675256 2.401695691776417 355.34839533515833
4054.0 4.19996875992142 5.185981693478779 5.0321510098682785 2.7520535959657435 363.82732506372884
6420.0 1.605645626089277 8.552810026028324 4.900163664582514 3.922488711673394 318.3746902162225
7772.0 2.7671899425045536 6.7069398528279365 5.197089320514493 3.108774208911719 361.6766442514039
7539.0 2.803927478668911 6.75710951769538 5.376948433403988 2.587337070506681 317.9247498944716
