ID	Peak1	Peak2	Cen1	Cen2	Size1	Size2	Peak	Sum	Volume
MWSIP018.034+00.106	18.041587953088992	0.10814277425221472	18.03448780155074	0.10615319674661075	196.92000000000002	125.30999999999999	2.387	83.606	81.0
MWSIP017.945+00.179	17.933281498907604	0.18317339471516786	17.94474648701015	0.178861946981673	153.6	146.60999999999999	1.979	68.17	71.0
MWSIP017.780+00.202	17.78328807318698	0.18321137157219852	17.779609390055867	0.20229557227395467	111.87	172.02	1.355	40.243	51.0
MWSIP017.608+00.199	17.599967627636147	0.20825080806459212	17.608382118779474	0.19879083252839966	136.89	126.78	1.605	37.347	46.0
MWSIP017.504+00.229	17.499974293149222	0.22493574971770483	17.504358250284753	0.22942666311950458	109.95	130.68	1.577	34.308	40.0
MWSIP018.071+00.229	18.074957089046706	0.2331328067556362	18.07123104526289	0.22927559945234377	142.26	115.5	1.649	32.734	44.0
MWSIP017.315+00.292	17.324987955757877	0.28329556771962816	17.314747618678865	0.29193856765389475	158.55	139.04999999999998	1.199	37.546	55.0
MWSIP018.144+00.310	18.149975977814847	0.29977612756800076	18.144354275842602	0.3098279223304224	140.49	180.69	2.443	95.05	79.0
MWSIP017.510+00.353	17.49999713875289	0.3582690810938306	17.510096172484452	0.3529256723540556	204.06	204.78	2.486	165.931	138.0
MWSIP017.378+00.478	17.37501546579128	0.483288712253594	17.377648112633096	0.47804666884549646	104.76	107.58	1.262	20.298	29.0
MWSIP017.748+00.535	17.74170441328789	0.5415543327963689	17.748028092010173	0.5347028954761025	148.92000000000002	192.08999999999997	1.887	79.494	85.0
MWSIP018.115+00.576	18.116731678465186	0.5831199802734441	18.11483761204653	0.5757122374872219	171.81	152.28	1.508	58.59	67.0
MWSIP017.734+00.645	17.73339322918929	0.6415562102583712	17.73372734319426	0.6449394686097168	90.03	88.65	1.087	11.572	18.0
MWSIP018.078+00.646	18.066751863464418	0.6581353018346329	18.077632139480215	0.6457320152352227	154.29	157.98	1.632	53.14	63.0
MWSIP017.805+00.858	17.800113934886326	0.8498740531910836	17.805283050585757	0.8577061438058927	132.08999999999997	142.05	2.042	55.912	55.0
MWSIP017.376+00.904	17.375074967434074	0.8999553746721971	17.37562563018662	0.9041302960551986	97.95	75.14999999999999	1.195	12.053	17.0
MWSIP017.646+00.935	17.650114801048602	0.9332407985346427	17.646131358996087	0.9351916157687935	211.79999999999998	222.69	3.272	208.981	157.0
MWSIP017.558+00.944	17.558437983424284	0.9415920211726615	17.55843845598153	0.9441503544623621	158.88	142.02	1.768	54.656	63.0
